"display_title" "opening_date" "publication_date" "url" "mpaa_rating" "critics_pick"
"136" "Dunkirk" "2017-07-21" "2017-07-20" "http://www.nytimes.com/2017/07/20/movies/dunkirk-review-christopher-nolan.html" "PG-13" 1
"137" "Dying Laughing" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/review-dying-laughing-about-bombing-onstage-or-conversely-killing.html" "" 0
"138" "Eagles of Death Metal" "2017-02-10" "2017-02-09" "http://www.nytimes.com/2017/02/09/movies/eagles-of-death-metal-review-colin-hanks.html" "" 0
"139" "Eloise" "2017-02-03" "2017-02-02" "http://www.nytimes.com/2017/02/02/movies/eloise-review-eliza-dushku.html" "R" 0
"140" "13 Minutes" "2017-06-30" "2017-06-29" "http://www.nytimes.com/2017/06/29/movies/13-minutes-review.html" "R" 0
"141" "Endless Poetry" "2017-07-14" "2017-07-13" "http://www.nytimes.com/2017/07/13/movies/review-endless-poetry-alejandro-jodorowskys-surreal-self-portrait.html" "Not Rated" 0
"142" "England Is Mine" "2017-08-25" "2017-08-24" "http://www.nytimes.com/2017/08/24/movies/england-is-mine-review.html" "" 0
"143" "Eric Clapton: Life in 12 Bars" "2017-11-24" "2017-11-23" "http://www.nytimes.com/2017/11/23/movies/eric-clapton-a-life-in-12-bars-review.html" "" 0
"144" "Everybody Loves Somebody" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/everybody-loves-somebody-review.html" "PG-13" 0
"145" "Everything, Everything" "2017-05-19" "2017-05-18" "http://www.nytimes.com/2017/05/18/movies/everything-everything-review.html" "PG-13" 0
"146" "Father Figures" "2017-12-22" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/father-figures-review-ed-helms-owen-wilson.html" "R" 0
"147" "Ferdinand" "2017-12-15" "2017-12-14" "http://www.nytimes.com/2017/12/14/movies/ferdinand-review.html" "PG" 0
"148" "Fifty Shades Darker" "2017-02-10" "2017-02-09" "http://www.nytimes.com/2017/02/09/movies/review-fifty-shades-darker-dakota-johnson.html" "R" 0
"149" "Finding Oscar" "2017-04-14" "2017-04-13" "http://www.nytimes.com/2017/04/13/movies/finding-oscar-review.html" "" 0
"150" "First Kill" "2017-07-21" "2017-07-20" "http://www.nytimes.com/2017/07/20/movies/first-kill-review.html" "R" 0
"151" "First They Killed My Father: A Daughter of Cambodia Remembers" "2017-09-15" "2017-09-13" "http://www.nytimes.com/2017/09/13/movies/first-they-killed-my-father-review-angelina-jolie.html" "" 0
"152" "Fist Fight" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/fist-fight-review-ice-cube-charlie-day.html" "R" 0
"153" "Five Came Back" "2017-03-31" "2017-03-30" "http://www.nytimes.com/2017/03/30/movies/five-came-back-review.html" "" 1
"154" "Flatliners" "2017-09-29" "2017-09-29" "http://www.nytimes.com/2017/09/29/movies/flatliners-review.html" "PG-13" 0
"155" "Folk Hero & Funny Guy" "2017-05-12" "2017-05-11" "http://www.nytimes.com/2017/05/11/movies/folk-hero-and-funny-guy-review.html" "" 0
"156" "Food Evolution" "2017-06-23" "2017-06-22" "http://www.nytimes.com/2017/06/22/movies/food-evolution-review.html" "" 0
"157" "Footnotes" "2017-07-14" "2017-07-13" "http://www.nytimes.com/2017/07/13/movies/footnotes-review.html" "" 0
"158" "For Ahkeem" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/review-in-for-ahkeem-a-last-option-for-a-troubled-teenager.html" "" 0
"159" "Frank Serpico" "2017-11-01" "2017-10-31" "http://www.nytimes.com/2017/10/31/movies/frank-serpico-review.html" "" 0
"160" "Free Fire" "2017-04-21" "2017-04-20" "http://www.nytimes.com/2017/04/20/movies/free-fire-review.html" "R" 1
"161" "From Nowhere" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/from-nowhere-review.html" "" 1
"162" "From the Land of the Moon" "2017-07-28" "2017-07-27" "http://www.nytimes.com/2017/07/27/movies/from-the-land-of-the-moon-review.html" "R" 0
"163" "Fun Mom Dinner" "2017-08-04" "2017-08-03" "http://www.nytimes.com/2017/08/03/movies/fun-mom-dinner-review.html" "R" 0
"164" "Gaga: Five Foot Two" "2017-09-22" "2017-09-21" "http://www.nytimes.com/2017/09/21/movies/gaga-five-foot-two-review.html" "" 0
"165" "Geostorm" "2017-10-20" "2017-10-20" "http://www.nytimes.com/2017/10/20/movies/geostorm-review-gerard-butler.html" "PG-13" 0
"166" "Get Me Roger Stone" "2017-05-12" "2017-05-11" "http://www.nytimes.com/2017/05/11/movies/get-me-roger-stone-review-donald-trump.html" "" 0
"167" "Get Out" "2017-02-24" "2017-02-23" "http://www.nytimes.com/2017/02/23/movies/get-out-review-jordan-peele.html" "R" 1
"168" "Ghost in the Shell" "2017-03-31" "2017-03-30" "http://www.nytimes.com/2017/03/30/movies/ghost-in-the-shell-review-scarlett-johansson.html" "PG-13" 0
"169" "Gifted" "2017-04-07" "2017-04-06" "http://www.nytimes.com/2017/04/06/movies/gifted-review.html" "PG-13" 0
"170" "Gilbert" "2017-04-01" "2017-11-02" "http://www.nytimes.com/2017/11/02/movies/wait-for-your-laugh-review-gilbert-gottfried-rose-marie.html" "" 0
"171" "Girls Trip" "2017-07-21" "2017-07-19" "http://www.nytimes.com/2017/07/19/movies/girls-trip-review-dargis-queen-latifah-regina-hall-tiffany-haddish-jada-pinkett-smith.html" "R" 0
"172" "God's Own Country" "2017-10-25" "2017-10-24" "http://www.nytimes.com/2017/10/24/movies/gods-own-country-review.html" "" 1
"173" "Going in Style" "2017-04-07" "2017-04-06" "http://www.nytimes.com/2017/04/06/movies/going-in-style-review.html" "PG-13" 0
"174" "Gold" "2017-01-27" "2017-01-26" "http://www.nytimes.com/2017/01/26/movies/gold-review-matthew-mcconaughey.html" "R" 0
"175" "Good Time" "2017-08-11" "2017-08-10" "http://www.nytimes.com/2017/08/10/movies/good-time-review-robert-pattinson.html" "R" 0
"176" "Growing Up Smith" "2017-02-03" "2017-02-02" "http://www.nytimes.com/2017/02/02/movies/growing-up-smith-review.html" "PG-13" 0
"177" "Guardians of the Galaxy Vol. 2" "2017-05-05" "2017-05-04" "http://www.nytimes.com/2017/05/04/movies/guardians-of-the-galaxy-2-review-chris-pratt.html" "PG-13" 0
"178" "Handsome Devil" "2017-06-02" "2017-06-01" "http://www.nytimes.com/2017/06/01/movies/handsome-devil-review.html" "" 0
"179" "Hangman" "2017-11-24" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/hangman-review-al-pacino.html" "R" 0
"180" "Happy Death Day" "2017-10-13" "2017-10-12" "http://www.nytimes.com/2017/10/12/movies/happy-death-day-review.html" "PG-13" 0
"181" "Happy End" "2017-12-22" "2017-12-21" "http://www.nytimes.com/2017/12/21/movies/happy-end-review-michael-haneke.html" "R" 1
"182" "Harmonium" "2017-06-16" "2017-06-15" "http://www.nytimes.com/2017/06/15/movies/harmonium-review.html" "Not Rated" 1
"183" "Harold and Lillian: A Hollywood Love Story" "2017-04-28" "2017-04-27" "http://www.nytimes.com/2017/04/27/movies/harold-and-lillian-review.html" "" 1
"184" "Hello Again" "2017-11-08" "2017-11-07" "http://www.nytimes.com/2017/11/07/movies/hello-again-review.html" "" 0
"185" "Hidden Figures" "2017-01-06" "2016-12-22" "http://www.nytimes.com/2016/12/22/movies/hidden-figures-review.html" "PG" 0
"186" "Hollow in the Land" "2017-12-08" "2017-12-07" "http://www.nytimes.com/2017/12/07/movies/hollow-in-the-land-review-dianna-agron.html" "" 0
"187" "Home Again" "2017-09-08" "2017-09-06" "http://www.nytimes.com/2017/09/06/movies/home-again-review-hallie-meyers-shyer.html" "PG-13" 0
"188" "How Heavy This Hammer" "2017-02-17" "2017-02-16" "http://www.nytimes.com/2017/02/16/movies/how-heavy-this-hammer-review.html" "" 0
"189" "How to Be a Latin Lover" "2017-04-28" "2017-04-28" "http://www.nytimes.com/2017/04/28/movies/how-to-be-a-latin-lover-review-eugenio-derbez.html" "PG-13" 0
"190" "I Am Jane Doe" "2017-02-10" "2017-02-09" "http://www.nytimes.com/2017/02/09/movies/i-am-jane-doe-review.html" "" 0
